Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time,,Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
16181,SUCCESS,2,206,1048,0.1,1048.1,,7024,SUCCESS,2,90,1236,0.1,1236.1
16182,SUCCESS,2,206,1048,0.1,1048.1,,7260,SUCCESS,2,93,1236,0.1,1236.1
16184,SUCCESS,2,206,1048,0.1,1048.1,,8825,SUCCESS,2,113,1236,0.1,1236.1
2326,SUCCESS,2,30,1068,0.1,1068.1,,9138,SUCCESS,2,117,1236,0.1,1236.1
2327,SUCCESS,2,30,1068,0.1,1068.1,,9686,SUCCESS,2,124,1236,0.1,1236.1
2330,SUCCESS,2,30,1068,0.1,1068.1,,10313,SUCCESS,2,132,1236,0.1,1236.1
2331,SUCCESS,2,30,1068,0.1,1068.1,,10782,SUCCESS,2,138,1236,0.1,1236.1
2332,SUCCESS,2,30,1068,0.1,1068.1,,10861,SUCCESS,2,139,1236,0.1,1236.1
2333,SUCCESS,2,30,1068,0.1,1068.1,,11488,SUCCESS,2,147,1236,0.1,1236.1
2334,SUCCESS,2,30,1068,0.1,1068.1,,13366,SUCCESS,2,171,1236,0.1,1236.1
2335,SUCCESS,2,30,1068,0.1,1068.1,,14151,SUCCESS,2,181,1236,0.1,1236.1
2336,SUCCESS,2,30,1068,0.1,1068.1,,14228,SUCCESS,2,182,1236,0.1,1236.1
2337,SUCCESS,2,30,1068,0.1,1068.1,,15637,SUCCESS,2,200,1236,0.1,1236.1
2338,SUCCESS,2,30,1068,0.1,1068.1,,16028,SUCCESS,2,205,1236,0.1,1236.1
2339,SUCCESS,2,30,1068,0.1,1068.1,,16968,SUCCESS,2,217,1236,0.1,1236.1
2340,SUCCESS,2,30,1068,0.1,1068.1,,17438,SUCCESS,2,223,1236,0.1,1236.1
2341,SUCCESS,2,30,1068,0.1,1068.1,,18612,SUCCESS,2,238,1236,0.1,1236.1
2342,SUCCESS,2,30,1068,0.1,1068.1,,18927,SUCCESS,2,242,1236,0.1,1236.1
2343,SUCCESS,2,30,1068,0.1,1068.1,,19475,SUCCESS,2,249,1236,0.1,1236.1
2345,SUCCESS,2,30,1068,0.1,1068.1,,133,SUCCESS,2,2,1255,0.1,1255.1
2346,SUCCESS,2,30,1068,0.1,1068.1,,211,SUCCESS,2,3,1255,0.1,1255.1
2347,SUCCESS,2,30,1068,0.1,1068.1,,1464,SUCCESS,2,19,1255,0.1,1255.1
2348,SUCCESS,2,30,1068,0.1,1068.1,,1543,SUCCESS,2,20,1255,0.1,1255.1
2350,SUCCESS,2,30,1068,0.1,1068.1,,1934,SUCCESS,2,25,1255,0.1,1255.1
2354,SUCCESS,2,30,1068,0.1,1068.1,,2639,SUCCESS,2,34,1255,0.1,1255.1
2355,SUCCESS,2,30,1068,0.1,1068.1,,3344,SUCCESS,2,43,1255,0.1,1255.1
2356,SUCCESS,2,30,1068,0.1,1068.1,,3578,SUCCESS,2,46,1255,0.1,1255.1
2357,SUCCESS,2,30,1068,0.1,1068.1,,5693,SUCCESS,2,73,1255,0.1,1255.1
2360,SUCCESS,2,30,1068,0.1,1068.1,,6084,SUCCESS,2,78,1255,0.1,1255.1
2361,SUCCESS,2,30,1068,0.1,1068.1,,6397,SUCCESS,2,82,1255,0.1,1255.1
2362,SUCCESS,2,30,1068,0.1,1068.1,,6632,SUCCESS,2,85,1255,0.1,1255.1
2363,SUCCESS,2,30,1068,0.1,1068.1,,7572,SUCCESS,2,97,1255,0.1,1255.1
2364,SUCCESS,2,30,1068,0.1,1068.1,,8120,SUCCESS,2,104,1255,0.1,1255.1
2365,SUCCESS,2,30,1068,0.1,1068.1,,8590,SUCCESS,2,110,1255,0.1,1255.1
2368,SUCCESS,2,30,1068,0.1,1068.1,,8981,SUCCESS,2,115,1255,0.1,1255.1
2369,SUCCESS,2,30,1068,0.1,1068.1,,9529,SUCCESS,2,122,1255,0.1,1255.1
2370,SUCCESS,2,30,1068,0.1,1068.1,,12113,SUCCESS,2,155,1255,0.1,1255.1
2371,SUCCESS,2,30,1068,0.1,1068.1,,13131,SUCCESS,2,168,1255,0.1,1255.1
2373,SUCCESS,2,30,1068,0.1,1068.1,,13758,SUCCESS,2,176,1255,0.1,1255.1
2374,SUCCESS,2,30,1068,0.1,1068.1,,14307,SUCCESS,2,183,1255,0.1,1255.1
